pastorateName,pastorateShortName,pastorateNameTamil,churchName,churchShortName,churchNameTamil,areaName,areaId,familyRespect,familyName,familyNumber,layoutNumber,familyPhone,familyEmail,familyAddress,familyNotes,familyPrayerPoints,memberNumber,memberId,memberRespect,memberName,relation,sex,dob,age,mobile,aadharNumber,occupation,workingPlace,isAlive,isMarried,spouseName,dateOfMarriage,isBaptised,dateOfBaptism,isConfirmed,dateOfConfirmation,congregationParticipation,memberCreatedAt,memberUpdatedAt
Tenkasi North Pastorate,TNP,தென்காசி வடக்கு,St. Peter's Church,SPC,செயின்ட் பீட்டர் தேவாலயம்,Zion Nagar,ZN,Mr,Kumar Family,001,001,9876543210,kumar@email.com,123 Main Street,Active family,Pray for health,01,M001,Mr,Rajesh Kumar,Head,Male,1980-05-15,44,9876543210,123456789012,Engineer,TCS Chennai,true,true,Priya Kumar,2005-06-20,true,1980-06-01,true,1995-04-15,true,2024-01-01,2024-01-01
Tenkasi North Pastorate,TNP,தென்காசி வடக்கு,St. Peter's Church,SPC,செயின்ட் பீட்டர் தேவாலயம்,Zion Nagar,ZN,Mr,Kumar Family,001,001,9876543210,kumar@email.com,123 Main Street,Active family,Pray for health,02,M002,Mrs,Priya Kumar,Wife,Female,1985-08-22,39,9876543211,123456789013,Teacher,Government School,true,true,Rajesh Kumar,2005-06-20,true,1985-09-01,true,2000-05-10,true,2024-01-01,2024-01-01
Tenkasi North Pastorate,TNP,தென்காசி வடக்கு,St. Peter's Church,SPC,செயின்ட் பீட்டர் தேவாலயம்,Zion Nagar,ZN,Mr,Kumar Family,001,001,9876543210,kumar@email.com,123 Main Street,Active family,Pray for health,03,M003,Master,Arun Kumar,Son,Male,2010-03-12,14,,,Student,School,true,false,,,,true,2010-04-01,false,,true,2024-01-01,2024-01-01
Tenkasi North Pastorate,TNP,தென்காசி வடக்கு,St. Peter's Church,SPC,செயின்ட் பீட்டர் தேவாலயம்,Zion Nagar,ZN,Mr,Samuel Family,002,002,9876543220,samuel@email.com,456 Church Road,New family,Pray for job,01,M004,Mr,David Samuel,Head,Male,1975-12-10,49,9876543220,234567890123,Business,Own Shop,true,true,Mary Samuel,2000-05-15,true,1976-01-05,true,1990-06-20,true,2024-01-02,2024-01-02
Tenkasi North Pastorate,TNP,தென்காசி வடக்கு,St. Peter's Church,SPC,செயின்ட் பீட்டர் தேவாலயம்,Zion Nagar,ZN,Mr,Samuel Family,002,002,9876543220,samuel@email.com,456 Church Road,New family,Pray for job,02,M005,Mrs,Mary Samuel,Wife,Female,1978-07-18,46,9876543221,234567890124,Homemaker,,true,true,David Samuel,2000-05-15,true,1978-08-01,true,1993-07-15,true,2024-01-02,2024-01-02
Tenkasi North Pastorate,TNP,தென்காசி வடக்கு,St. Peter's Church,SPC,செயின்ட் பீட்டர் தேவாலயம்,Zion Nagar,ZN,Mr,Samuel Family,002,002,9876543220,samuel@email.com,456 Church Road,New family,Pray for job,03,M006,Ms,Sarah Samuel,Daughter,Female,2005-09-25,19,9876543222,,College Student,College,true,false,,,,true,2005-10-10,true,2020-08-15,true,2024-01-02,2024-01-02
Tenkasi North Pastorate,TNP,தென்காசி வடக்கு,St. Peter's Church,SPC,செயின்ட் பீட்டர் தேவாலயம்,Zion Nagar,ZN,Rev,Thomas Family,003,003,9876543230,thomas@email.com,789 Temple Street,,Pray for ministry,01,M007,Rev,John Thomas,Head,Male,1970-04-08,54,9876543230,345678901234,Pastor,Church,true,true,Grace Thomas,1995-11-20,true,1970-05-01,true,1985-06-10,true,2024-01-03,2024-01-03
Tenkasi North Pastorate,TNP,தென்காசி வடக்கு,St. Peter's Church,SPC,செயின்ட் பீட்டர் தேவாலயம்,Zion Nagar,ZN,Rev,Thomas Family,003,003,9876543230,thomas@email.com,789 Temple Street,,Pray for ministry,02,M008,Mrs,Grace Thomas,Wife,Female,1972-11-30,52,9876543231,345678901235,Church Worker,Church,true,true,John Thomas,1995-11-20,true,1972-12-15,true,1987-07-20,true,2024-01-03,2024-01-03
Tenkasi North Pastorate,TNP,தென்காசி வடக்கு,St. Peter's Church,SPC,செயின்ட் பீட்டர் தேவாலயம்,Anna Nagar,AN,Mr,Wilson Family,004,004,9876543240,wilson@email.com,321 Park Avenue,Regular attendees,Pray for children,01,M009,Mr,Peter Wilson,Head,Male,1988-02-14,36,9876543240,456789012345,Doctor,Government Hospital,true,true,Linda Wilson,2012-04-10,true,1988-03-01,true,2003-05-15,true,2024-01-04,2024-01-04
Tenkasi North Pastorate,TNP,தென்காசி வடக்கு,St. Peter's Church,SPC,செயின்ட் பீட்டர் தேவாலயம்,Anna Nagar,AN,Mr,Wilson Family,004,004,9876543240,wilson@email.com,321 Park Avenue,Regular attendees,Pray for children,02,M010,Mrs,Linda Wilson,Wife,Female,1990-06-20,34,9876543241,456789012346,Nurse,Private Hospital,true,true,Peter Wilson,2012-04-10,true,1990-07-05,true,2005-06-20,true,2024-01-04,2024-01-04
